ID,DueDate,InvoiceNo,InvoiceDate,CompanyName,TotalDue
kxx203hl6pp8tub5vi41,21-10-2023,16996,,Sit Amet Corp.,"$2,100.00"
edxhnnt3djcemuq8r4wuae,11-10-2023,16892,,Sit Amet Corp.,"$21,442.80"
y4fgtqgfmngbmzf3adaywj,14-11-2023,11448,,Sit Amet Corp.,"$7,288.80"
utpgt5w6ftj4wxphmbmvwe,14-11-2023,13759,,Sit Amet Corp.,$879.60
piitokfc7gwn1sf9ltjd,25-11-2023,18752,,Sit Amet Corp.,"$1,204.80"
48lb95o2v6xy27j772phip,15-11-2023,11577,,Sit Amet Corp.,"$17,310.00"
t0eqpggurrf77evrtq7bhk,04-11-2023,11577,"Jun 30, 2019",Sit Amet Corp.,17.310.00
q6dl72ati8zxndqdjttnd,13-11-2023,11448,"Jun 26, 2019",Sit Amet Corp.,7.288.80
co7cqlq8mr6bqb6nbtizhp,07-11-2023,18752,Jul1.2019,Sit Amet Corp.,1.204.80
dtlab4rv3ore00hmunk6mk,26-11-2023,13759,"Jun 19, 2019",Sit Amet Corp.,879.60
pita3gxzasjujzfe0k1z9,14-11-2023,16892,"Jun1,2019",Sit Amet Corp.,21.442.80
wd44728l43m5k5l0qdk9m,15-11-2023,16996,"Jun 20, 2019",Sit Amet Corp.,2.100.00
